gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mut_female,n_mut_male,n_ctrl_female,n_ctrl_male,centre_bg_pool_female,centre_bg_pool_male,mutant_test_period
Ift80,Ift80<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,5,54,44,452,454,2012-11-05/2013-05-21
Il10rb,Il10rb<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-07-17/2012-09-05
Ildr1,Ildr1<tm1(KOMP)Wtsi>,homozygote,WTSI,2,5,54,44,452,454,2013-08-06/2013-09-18
Inpp1,Inpp1<tm1b(KOMP)Wtsi>,homozygote,WTSI,0,8,21,22,29,25,2012-06-19/2012-09-11
Ints2,Ints2<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-03-13/2013-03-13
Irf7,Irf7<tm1(KOMP)Wtsi>,homozygote,WTSI,1,5,54,44,452,454,2012-10-10/2012-10-16
Isg20,Isg20<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,54,44,452,454,2013-08-07/2013-09-03
Jmjd1c,Jmjd1c<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-03-28/2013-03-28
Kcnip4,Kcnip4<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-02-11/2013-02-28
Kcnv2,Kcnv2<tm1Wtsi>,homozygote,WTSI,4,2,54,44,452,454,2012-07-02/2012-12-27
Kdm4d,Kdm4d<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-06-20/2012-08-06
Kdm7a,Kdm7a<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,4,54,44,452,454,2012-06-26/2012-08-28
Kifap3,Kifap3<tm1a(KOMP)Wtsi>,heterozygote,WTSI,1,3,54,44,452,454,2012-06-08/2012-06-20
Klhl18,Klhl18<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,7,54,44,452,454,2013-10-28/2013-11-13
Klhl21,Klhl21<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-07-22/2013-07-22
Klk9,Klk9<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,1,54,44,452,454,2013-06-20/2013-09-04
Krt88,Krt88<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2014-02-13/2014-02-13
L3mbtl2,L3mbtl2<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2014-05-01/2014-05-07
Lamc3,Lamc3<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-06-11/2012-06-11
Lztr1,Lztr1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-03-13/2012-03-13
Magea9,Magea9<tm1a(KOMP)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2012-08-30/2012-10-11
Magea9,Magea9<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,0,54,44,452,454,2012-08-08/2012-10-11
Map2k7,Map2k7<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,2,2,54,44,452,454,2012-10-29/2012-11-22
Map3k1,Map3k1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-05-29/2012-06-06
Mapk10,Mapk10<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-03-27/2012-03-27
Mast2,Mast2<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2014-03-19/2014-03-19
Mcf2l,Mcf2l<tm1a(EUCOMM)Hmgu>,homozygote,WTSI,0,4,54,44,452,454,2013-10-02/2013-10-02
Mettl24,Mettl24<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2014-03-03/2014-03-03
Mlec,Mlec<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2012-04-30/2012-07-18
Mrap2,Mrap2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2012-04-18/2012-09-05
Mrm1,Mrm1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2014-03-11/2014-03-11
Mtss2,Mtss2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-07-22/2013-07-22
Myh14,Myh14<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,6,54,44,452,454,2013-03-26/2013-10-15
Myo10,Myo10<tm2(KOMP)Wtsi>,homozygote,WTSI,4,7,54,44,452,454,2014-02-03/2014-04-17
Myo7a,Myo7a<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,54,44,452,454,2012-08-01/2012-09-24
Myrfl,Myrfl<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,3,54,44,452,454,2012-04-16/2012-07-11
Myt1l,Myt1l<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-05-20/2013-05-20
Nacad,Nacad<tm1(KOMP)Wtsi>,homozygote,WTSI,5,3,54,44,452,454,2012-08-21/2013-01-14
Naga,Naga<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-09-12/2012-09-12
Nbeal2,Nbeal2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-02-12/2013-02-12
Ngrn,Ngrn<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-05-21/2013-05-21
Nherf4,Nherf4<tm1a(KOMP)Wtsi>,homozygote,WTSI,6,2,54,44,452,454,2013-03-07/2013-04-22
Nhp2,Nhp2<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-04-09/2013-04-09
Ninj2,Ninj2<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-10-02/2012-10-02
Nme4,Nme4<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-10-14/2013-10-14
Nup85,Nup85<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,2,54,44,452,454,2014-03-05/2014-03-24
Ocm,Ocm<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,3,5,54,44,452,454,2012-11-12/2012-12-17
