gene_symbol,allele_symbol,zygosity,phenotyping_center,genetic_background,equipment_manufacturer,equipment_model,pipeline_name,n_mutants,n_mutants_complete,n_controls_matched,n_controls_matched_complete,n_controls_matched_abr001,n_controls_matched_abr001_complete
Prdm4,Prdm4<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,involves: C57BL/6NTac,Intelligent Hearing Systems,Smart EP,Harwell,5,5,860,858,400,400
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,involves: C57BL/6NTac,Intelligent Hearing Systems,Smart EP,Harwell,8,8,860,858,400,400
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,6,6,906,904,906,904
Prps1,Prps1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,3,3,906,904,906,904
Prrc2b,Prrc2b<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Prrg2,Prrg2<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Prrt2,Prrt2<tm1a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,9,9,906,904,906,904
Prss52,Prss52<tm2a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Prss53,Prss53<em1(IMPC)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Psph,Psph<tm1a(EUCOMM)Hmgu>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,6,5,906,904,906,904
Pth,Pth<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pth1r,Pth1r<tm1a(EUCOMM)Hmgu>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pth2r,Pth2r<tm2a(KOMP)Wtsi>,homozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
Pthlh,Pthlh<tm1a(KOMP)Wtsi>,heterozygote,WTSI,involves: C57BL/6N,TDT (Tucker Davis Technologies),"RP2.1 based system, RA4PA Medusa Preamplifier",MGP Select Pipeline,4,4,906,904,906,904
