gene_symbol,allele_symbol,zygosity,center,total_mice,mice_with_complete_data,control_count,control_status,6kHz-evoked ABR Threshold_count,12kHz-evoked ABR Threshold_count,18kHz-evoked ABR Threshold_count,24kHz-evoked ABR Threshold_count,30kHz-evoked ABR Threshold_count,6kHz-evoked ABR Threshold_mean,12kHz-evoked ABR Threshold_mean,18kHz-evoked ABR Threshold_mean,24kHz-evoked ABR Threshold_mean,30kHz-evoked ABR Threshold_mean
Eomes,Eomes<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,52.5,27.5,37.5,48.75,46.25
Epb41l4a,Epb41l4a<tm1b(KOMP)Mbp>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,43.57142857142857,40.0,29.285714285714285,40.0,47.857142857142854
Ercc6l2,Ercc6l2<em1(IMPC)Hmgu>,homozygote,HMGU,3,2,1909,OK,3,3,3,3,2,38.333333333333336,25.0,28.333333333333332,40.0,60.0
Erich3,Erich3<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,33.75,22.5,25.0,30.0,42.5
Ermn,Ermn<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,38.75,31.25,36.25,31.25,45.0
Esr2,Esr2<em1(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,58.75,43.75,48.75,57.5,73.75
Fabp1,Fabp1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,38.75,38.75,38.75,38.75,45.0
Fadd,Fadd<tm1e.1(KOMP)Wtsi>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,31.25,18.75,22.5,30.0,43.75
Fads1,Fads1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,46.25,30.0,31.25,37.5,58.75
Fam120a,Fam120a<em1(IMPC)J>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,58.57142857142857,51.42857142857143,49.285714285714285,57.142857142857146,67.85714285714286
Fam124b,Fam124b<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,45.0,45.625,40.625,45.0,60.625
Fam222a,Fam222a<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,47.5,45.625,33.75,48.125,55.0
Fancl,Fancl<tm1b(EUCOMM)Hmgu>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,47.5,42.5,41.25,51.25,80.0
Fbxl20,Fbxl20<em2(IMPC)Marc>,heterozygote,MARC,4,4,147,OK,4,4,4,4,4,53.75,38.75,45.0,47.5,62.5
Fbxl20,Fbxl20<tm1b(KOMP)Wtsi>,heterozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,48.75,46.25,46.25,43.75,43.75
Fbxl20,Fbxl20<em2(IMPC)Marc>,heterozygote,MARC,4,4,147,OK,4,4,4,4,4,53.75,38.75,45.0,47.5,62.5
Fbxl20,Fbxl20<tm1b(KOMP)Wtsi>,heterozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,48.75,46.25,46.25,43.75,43.75
Fbxl5,Fbxl5<em1(IMPC)Marc>,heterozygote,MARC,4,4,147,OK,4,4,4,4,4,56.25,53.75,51.25,66.25,80.0
Fbxo15,Fbxo15<em1(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,61.25,58.75,51.25,71.25,77.5
Fbxo36,Fbxo36<tm1b(KOMP)Wtsi>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,50.0,43.75,45.0,73.75,90.0
Fbxo5,Fbxo5<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,37.5,27.5,23.75,35.0,46.25
Fbxw13,Fbxw13<em2(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,55.0,53.75,45.0,56.25,73.75
Fgf9,Fgf9<tm1b(KOMP)Wtsi>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,53.75,33.75,40.0,45.0,41.25
