gene_symbol,allele_symbol,zygosity,phenotyping_center,count
Coq4,Coq4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4
Coq6,Coq6<tm1b(EUCOMM)Hmgu>,heterozygote,JAX,8
Coro1c,Coro1c<tm1a(KOMP)Wtsi>,heterozygote,WTSI,6
Cox18,Cox18<em1(IMPC)J>,heterozygote,JAX,8
Cox6b1,Cox6b1<em1(IMPC)Tcp>,heterozygote,TCP,4
Cpa4,Cpa4<em1(IMPC)Marc>,homozygote,MARC,5
Cpsf3,Cpsf3<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,7
Cpsf4l,Cpsf4l<em1(IMPC)J>,homozygote,JAX,7
Crbn,Crbn<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4
Crcp,Crcp<em1(IMPC)J>,heterozygote,JAX,8
Cript,Cript<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8
Crybb3,Crybb3<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Crybg1,Crybg1<tm1b(KOMP)Wtsi>,heterozygote,TCP,4
Crygn,Crygn<em1(IMPC)Hmgu>,homozygote,HMGU,8
Csmd3,Csmd3<em1(IMPC)Mbp>,homozygote,UC Davis,4
Csnk1g1,Csnk1g1<em1(IMPC)J>,homozygote,JAX,6
Cst9,Cst9<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Cstad,Cstad<em1(IMPC)J>,homozygote,JAX,5
Cstf1,Cstf1<em1(IMPC)J>,heterozygote,JAX,8
Ctbs,Ctbs<em1(IMPC)J>,homozygote,JAX,7
Cth,Cth<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,6
Ctr9,Ctr9<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4
Cts3,Cts3<em1(IMPC)Hmgu>,homozygote,HMGU,8
Cttnbp2nl,Cttnbp2nl<em1(IMPC)J>,homozygote,JAX,7
Cuedc1,Cuedc1<em1(IMPC)J>,homozygote,JAX,8
Cutal,Cutal<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Cx3cl1,Cx3cl1<em3(IMPC)Ics>,homozygote,ICS,11
Cxcl9,Cxcl9<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4
Cyba,Cyba<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Cyp2c23,Cyp2c23<tm1b(EUCOMM)Hmgu>,homozygote,JAX,8
Cyp2r1,Cyp2r1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4
Cyp39a1,Cyp39a1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16
Cyp4f16,Cyp4f16<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4
Cyria,Cyria<em1(IMPC)Hmgu>,homozygote,HMGU,8
