gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mutants,n_males,n_females,genetic_background,pipeline_name,n_controls
Adamts19,Adamts19<tm4a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Adamts3,Adamts3<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Adap1,Adap1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Adcy2,Adcy2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Adcy9,Adcy9<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Adgrb1,Adgrb1<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Adgrb1,Adgrb1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,8,6,2,involves: C57BL/6N,MGP Select Pipeline,960
Adgrd1,Adgrd1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Adpgk,Adpgk<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,6,1,5,involves: C57BL/6N,MGP Select Pipeline,960
Aff3,Aff3<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Aff3,Aff3<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,10,5,5,involves: C57BL/6N,MGP Select Pipeline,960
Agap1,Agap1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,9,8,1,involves: C57BL/6N,MGP Select Pipeline,960
Ago3,Ago3<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Ahcyl1,Ahcyl1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Aicda,Aicda<tm1b(EUCOMM)Hmgu>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Aldh16a1,Aldh16a1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5,3,2,involves: C57BL/6N,MGP Select Pipeline,960
